2025-10-10 19:46:59.170 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=30
2025-10-10 19:46:59.303 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 4
2025-10-10 19:46:59.335 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 1
2025-10-10 19:46:59.414 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=30
2025-10-10 19:46:59.455 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=120
2025-10-10 19:46:59.566 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 1
2025-10-10 19:46:59.600 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 4
2025-10-10 19:47:00.306 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=150
2025-10-10 19:47:00.338 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=60
2025-10-10 19:47:00.461 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 5
2025-10-10 19:47:00.480 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 2
2025-10-10 19:47:00.569 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=60
2025-10-10 19:47:00.602 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=150
2025-10-10 19:47:00.717 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 2
2025-10-10 19:47:00.764 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 5
2025-10-10 19:47:01.462 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=180
2025-10-10 19:47:01.481 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=90
2025-10-10 19:47:01.607 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 11 English IPOs from page 6
2025-10-10 19:47:01.608 | INFO     | collector.IPOCollector:_fetch_ipos_arabic:49 - 🌐 Fetching Arabic IPOs from: https://www.mubasher.info/api/1/ipos?country=eg&size=30&start=0
2025-10-10 19:47:01.629 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 3
2025-10-10 19:47:01.717 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=90
2025-10-10 19:47:01.764 | INFO     | collector.IPOCollector:_fetch_ipos_english:73 - 🌐 Fetching English IPOs from: https://english.mubasher.info/api/1/ipos?country=eg&size=30&start=180
2025-10-10 19:47:01.868 | INFO     | collector.IPOCollector:_fetch_ipos_english:79 - ✅ Fetched 30 English IPOs from page 3
